index,API name,API method name,utterance,parameters,REQUIRED PARAMETERS,VALUES,FORMAT,ID,TECHNICAL,INTER-DEPENDENCY,SEMANTIC RELEVANT
16,OTT details,Advanced Search,Show me the latest movies in English with IMDb rating at least 8.,"{'type': 'movie', 'language': 'english', 'min_imdb': 8, 'sort': 'latest'}",,,,,,,
17,Postal Ninja,createTrack,Can you create a tracking entry for the package with tracking number 1Z999AA10123456784?,{'trackCode': '1Z999AA10123456784'},,,,,,,
17,Postal Ninja,createTrack,Please add tracking for the parcel with tracking code 9400110200881234567890 and specify the carrier as USPS.,"{'trackCode': '9400110200881234567890', 'ds': 'USPS'}",,,,,,,
17,Postal Ninja,createTrack,Create a new tracking record for the shipment with tracking number LX123456789CN destined for China.,"{'trackCode': 'LX123456789CN', 'destCountry': 'CN'}",,,,,,,
17,Postal Ninja,createTrack,I want to track the package with tracking code 4202212345678901234567890123456789 from DHL.,"{'trackCode': '4202212345678901234567890123456789', 'ds': 'DHL'}",,,,,,,
17,Postal Ninja,createTrack,Add tracking for the parcel with tracking number RR123456789US going to the United States.,"{'trackCode': 'RR123456789US', 'destCountry': 'US'}",,,,,,,
17,Postal Ninja,createTrack,Please create a tracking entry for the shipment with tracking code 1234567890.,{'trackCode': '1234567890'},,,,,,,
17,Postal Ninja,createTrack,Track the package with tracking number 8Z12345E0305271688 and carrier FedEx.,"{'trackCode': '8Z12345E0305271688', 'ds': 'FedEx'}",,,,,,,
17,Postal Ninja,createTrack,Create tracking for the parcel with code CP123456789DE destined for Germany.,"{'trackCode': 'CP123456789DE', 'destCountry': 'DE'}",,,,,,,
17,Postal Ninja,createTrack,Add a new tracking number 123456789ABC for the shipment.,{'trackCode': '123456789ABC'},,,,,,,
17,Postal Ninja,createTrack,Please create tracking for the package with tracking code 1Z12345E1512345676 from UPS going to Canada.,"{'trackCode': '1Z12345E1512345676', 'ds': 'UPS', 'destCountry': 'CA'}",,,,,,,
18,Recipe - Food - Nutrition,Generate Shopping List,"Generate my shopping list from June 1, 2023 to June 7, 2023, username is john_doe and hash is abc123xyz.","{'start-date': '2023-06-01', 'end-date': '2023-06-07', 'username': 'john_doe', 'hash': 'abc123xyz'}",,,,,,,
18,Recipe - Food - Nutrition,Generate Shopping List,"I need the shopping list for my meal planner from 2024-01-10 to 2024-01-15, my username is sarah89 and the hash is 9f8e7d6c5b.","{'start-date': '2024-01-10', 'end-date': '2024-01-15', 'username': 'sarah89', 'hash': '9f8e7d6c5b'}",,,,,,,
18,Recipe - Food - Nutrition,Generate Shopping List,"Please provide the shopping list for the dates March 5, 2024 to March 12, 2024 for user mike2024 with hash 1a2b3c4d5e.","{'start-date': '2024-03-05', 'end-date': '2024-03-12', 'username': 'mike2024', 'hash': '1a2b3c4d5e'}",,,,,,,
18,Recipe - Food - Nutrition,Generate Shopping List,"Get my shopping list from 2023-11-20 to 2023-11-27, username is emily_rose and hash is zxy987654321.","{'start-date': '2023-11-20', 'end-date': '2023-11-27', 'username': 'emily_rose', 'hash': 'zxy987654321'}",,,,,,,
18,Recipe - Food - Nutrition,Generate Shopping List,Can you generate the shopping list for user alex99 from 2024-07-01 to 2024-07-07 with hash 5f6g7h8i9j?,"{'start-date': '2024-07-01', 'end-date': '2024-07-07', 'username': 'alex99', 'hash': '5f6g7h8i9j'}",,,,,,,
18,Recipe - Food - Nutrition,Generate Shopping List,"I want the shopping list for the meal planner between 2023-12-15 and 2023-12-22, username is chef_maria and hash is qwerty12345.","{'start-date': '2023-12-15', 'end-date': '2023-12-22', 'username': 'chef_maria', 'hash': 'qwerty12345'}",,,,,,,
18,Recipe - Food - Nutrition,Generate Shopping List,Please fetch the shopping list for user tom_h from 2024-02-01 to 2024-02-08 with hash 0987poiuyt.,"{'start-date': '2024-02-01', 'end-date': '2024-02-08', 'username': 'tom_h', 'hash': '0987poiuyt'}",,,,,,,
18,Recipe - Food - Nutrition,Generate Shopping List,Generate the shopping list for the dates 2023-09-10 to 2023-09-17 for user linda_w with hash 1122334455.,"{'start-date': '2023-09-10', 'end-date': '2023-09-17', 'username': 'linda_w', 'hash': '1122334455'}",,,,,,,
18,Recipe - Food - Nutrition,Generate Shopping List,Get the shopping list from 2024-05-05 to 2024-05-12 for user david_b with hash abcdef123456.,"{'start-date': '2024-05-05', 'end-date': '2024-05-12', 'username': 'david_b', 'hash': 'abcdef123456'}",,,,,,,
18,Recipe - Food - Nutrition,Generate Shopping List,"I want to see the shopping list for user anna_k from 2023-08-01 to 2023-08-08, hash is zxcvbnm98765.","{'start-date': '2023-08-01', 'end-date': '2023-08-08', 'username': 'anna_k', 'hash': 'zxcvbnm98765'}",,,,,,,
19,Referential,Languages,Can you list all the world's languages translated into Spanish?,{'lang': 'es'},,,,,,,
19,Referential,Languages,Show me the languages spoken in France with their 3 letter ISO codes.,"{'iso_a2': 'FR', 'fields': 'lang,lang_3'}",,,,,,,
19,Referential,Languages,I want to see the language names translated into German.,{'lang': 'de'},,,,,,,
19,Referential,Languages,List the language with the 3 letter ISO code 'eng' translated into French.,"{'lang_3': 'eng', 'lang': 'fr'}",,,,,,,
19,Referential,Languages,Provide the languages spoken in Japan with their flags and ISO codes.,"{'iso_a2': 'JP', 'fields': 'flag,iso_a2,lang_3,lang'}",,,,,,,
19,Referential,Languages,Show me all languages translated into Chinese.,{'lang': 'zh'},,,,,,,
19,Referential,Languages,Get the language details for the 3 letter ISO code 'spa' in English.,"{'lang_3': 'spa', 'lang': 'en'}",,,,,,,
19,Referential,Languages,List languages spoken in Brazil with their names translated into Portuguese.,"{'iso_a2': 'BR', 'lang': 'pt'}",,,,,,,
19,Referential,Languages,Show me the languages spoken in Canada with their flags and names in English.,"{'iso_a2': 'CA', 'fields': 'flag,lang', 'lang': 'en'}",,,,,,,
19,Referential,Languages,Provide the language translated into Italian for the 3 letter ISO code 'rus'.,"{'lang_3': 'rus', 'lang': 'it'}",,,,,,,
20,Shazam,songs/get-count,How many times has the song with key 40333609 been detected on Shazam?,{'key': '40333609'},,,,,,,
20,Shazam,songs/get-count,Get the total Shazam count for the song identified by key 12345678.,{'key': '12345678'},,,,,,,
20,Shazam,songs/get-count,Show me how many times the track with key 98765432 has been shazamed.,{'key': '98765432'},,,,,,,
20,Shazam,songs/get-count,Tell me the total number of detections for the song key 55555555.,{'key': '55555555'},,,,,,,
20,Shazam,songs/get-count,What is the detection count for the song with key 11223344 on Shazam?,{'key': '11223344'},,,,,,,
20,Shazam,songs/get-count,Find out how many times the song identified by key 87654321 has been detected.,{'key': '87654321'},,,,,,,
20,Shazam,songs/get-count,Retrieve the total Shazam detections for the song key 33445566.,{'key': '33445566'},,,,,,,
20,Shazam,songs/get-count,How often has the song with key 99887766 been shazamed so far?,{'key': '99887766'},,,,,,,
20,Shazam,songs/get-count,Get me the total number of times the track with key 44556677 has been detected on Shazam.,{'key': '44556677'},,,,,,,
20,Shazam,songs/get-count,Check the total detection count for the song identified by key 66778899.,{'key': '66778899'},,,,,,,
21,SolarEnergyPrediction,/v2.0/solar/prediction,Can you predict the solar power output for a PV plant located at latitude 49.34 and longitude 8.80 with an installed capacity of 6442 watts peak?,"{'lat': 49.34, 'lon': 8.8, 'wp': 6442}",,,,,,,
21,SolarEnergyPrediction,/v2.0/solar/prediction,Give me a 4-day solar power forecast for a PV system with an inverter capacity of 4500 watts and a panel tilt of 32 degrees.,"{'inverter': 4500, 'deg': 32}",,,,,,,
21,SolarEnergyPrediction,/v2.0/solar/prediction,What is the expected solar energy production for a plant with azimuth 45 degrees and 14% system losses?,"{'az': 45, 'loss': 14}",,,,,,,
21,SolarEnergyPrediction,/v2.0/solar/prediction,Provide the solar power prediction for a PV plant using monocrystalline panel technology located at longitude 8.8 and latitude 49.34.,"{'tech': 'monocrystalline', 'lon': 8.8, 'lat': 49.34}",,,,,,,
21,SolarEnergyPrediction,/v2.0/solar/prediction,Forecast the solar output for a PV plant identified by plant ID 0xAb425D74eA0113d11c3092E47a4C0542C25973db.,{'plant': '0xAb425D74eA0113d11c3092E47a4C0542C25973db'},,,,,,,
21,SolarEnergyPrediction,/v2.0/solar/prediction,Can you provide the solar power forecast formatted like forecast.solar for a PV plant at postal code 69256 in Germany?,"{'zip': '69256', 'decoration': 'forecast.solar'}",,,,,,,
21,SolarEnergyPrediction,/v2.0/solar/prediction,I need a solar power prediction for a PV system with a plane azimuth of -90 degrees and a declination of 45 degrees.,"{'az': -90, 'deg': 45}",,,,,,,
21,SolarEnergyPrediction,/v2.0/solar/prediction,Show me the solar energy forecast for a PV plant with 10% system losses and an inverter capacity of 5000 watts.,"{'loss': 10, 'inverter': 5000}",,,,,,,
21,SolarEnergyPrediction,/v2.0/solar/prediction,Predict the solar power output for a PV plant using polycrystalline technology with installed watt-peak of 7000 watts.,"{'tech': 'polycrystalline', 'wp': 7000}",,,,,,,
21,SolarEnergyPrediction,/v2.0/solar/prediction,Get the solar power forecast for multiple plants using IDs 0xAb425D74eA0113d11c3092E47a4C0542C25973db and 0x1234567890abcdef1234567890abcdef12345678.,"{'plant': '0xAb425D74eA0113d11c3092E47a4C0542C25973db,0x1234567890abcdef1234567890abcdef12345678'}",,,,,,,
22,Spotify,Artist albums,Show me the albums of the artist with ID 2w9zwq3AktTeYYMuhMjju8.,{'id': '2w9zwq3AktTeYYMuhMjju8'},,,,,,,
22,Spotify,Artist albums,Get the first 50 albums for the artist with ID 1Xyo4u8uXC1ZmMpatF05PJ.,"{'id': '1Xyo4u8uXC1ZmMpatF05PJ', 'limit': 50}",,,,,,,
22,Spotify,Artist albums,List albums by the artist with ID 3TVXtAsR1Inumwj472S9r4 starting from the 10th album.,"{'id': '3TVXtAsR1Inumwj472S9r4', 'offset': 10}",,,,,,,
22,Spotify,Artist albums,"Fetch 20 albums from the artist with ID 66CXWjxzNUsdJxJ2JdwvnR, starting at album number 5.","{'id': '66CXWjxzNUsdJxJ2JdwvnR', 'offset': 5, 'limit': 20}",,,,,,,
22,Spotify,Artist albums,Retrieve all albums for the artist with ID 4tZwfgrHOc3mvqYlEYSvVi.,{'id': '4tZwfgrHOc3mvqYlEYSvVi'},,,,,,,
22,Spotify,Artist albums,Get the top 10 albums from the artist with ID 6eUKZXaKkcviH0Ku9w2n3V.,"{'id': '6eUKZXaKkcviH0Ku9w2n3V', 'limit': 10}",,,,,,,
22,Spotify,Artist albums,Show albums by the artist with ID 7dGJo4pcD2V6oG8kP0tJRR starting from the 15th album.,"{'id': '7dGJo4pcD2V6oG8kP0tJRR', 'offset': 15}",,,,,,,
22,Spotify,Artist albums,List 30 albums for the artist with ID 53XhwfbYqKCa1cC15pYq2q.,"{'id': '53XhwfbYqKCa1cC15pYq2q', 'limit': 30}",,,,,,,
22,Spotify,Artist albums,Fetch albums for the artist with ID 1uNFoZAHBGtllmzznpCI3s starting at album 0 with a limit of 5.,"{'id': '1uNFoZAHBGtllmzznpCI3s', 'offset': 0, 'limit': 5}",,,,,,,
22,Spotify,Artist albums,Get albums by the artist with ID 5K4W6rqBFWDnAN6FQUkS6x.,{'id': '5K4W6rqBFWDnAN6FQUkS6x'},,,,,,,
23,Streaming Availability,Search Basic (FREE),Find movies about zombies on Netflix and Prime in the US.,"{'services': 'netflix,prime', 'country': 'us', 'keyword': 'zombie', 'show_type': 'movie'}",,,,,,,
23,Streaming Availability,Search Basic (FREE),Search for English language series on Hulu and Disney in Canada.,"{'services': 'hulu,disney', 'country': 'ca', 'show_original_language': 'en', 'show_type': 'series'}",,,,,,,
23,Streaming Availability,Search Basic (FREE),Show me free subscription shows on Peacock and HBO in the UK.,"{'services': 'peacock.free,hbo.subscription', 'country': 'gb'}",,,,,,,
23,Streaming Availability,Search Basic (FREE),Look for comedy genre movies on Prime and Netflix in Australia.,"{'services': 'prime,netflix', 'country': 'au', 'genre': '35', 'show_type': 'movie'}",,,,,,,
23,Streaming Availability,Search Basic (FREE),Find Spanish language series available on Netflix and Hulu in Spain.,"{'services': 'netflix,hulu', 'country': 'es', 'show_original_language': 'es', 'show_type': 'series'}",,,,,,,
23,Streaming Availability,Search Basic (FREE),Search for all types of shows with the keyword 'space' on Prime and Disney in Germany.,"{'services': 'prime,disney', 'country': 'de', 'keyword': 'space', 'show_type': 'all'}",,,,,,,
23,Streaming Availability,Search Basic (FREE),Find rentable movies on Apple TV and Prime in France.,"{'services': 'apple.rent,prime.rent', 'country': 'fr', 'show_type': 'movie'}",,,,,,,
23,Streaming Availability,Search Basic (FREE),Show me all series available on Hulu addon HBO and Peacock in the US.,"{'services': 'hulu.addon.hbo,peacock', 'country': 'us', 'show_type': 'series'}",,,,,,,
23,Streaming Availability,Search Basic (FREE),Look for horror movies on Netflix and Prime in Italy.,"{'services': 'netflix,prime', 'country': 'it', 'genre': '27', 'show_type': 'movie'}",,,,,,,
23,Streaming Availability,Search Basic (FREE),Find French language movies on Netflix and Disney in Canada.,"{'services': 'netflix,disney', 'country': 'ca', 'show_original_language': 'fr', 'show_type': 'movie'}",,,,,,,
24,SynWave,Upload a new file,Please upload this document file for me.,{'file': 'document.pdf'},,,,,,,
24,SynWave,Upload a new file,Upload the image file and set the expiration time to 7200 seconds.,"{'file': 'photo.jpg', 'expiration_seconds': 7200}",,,,,,,
24,SynWave,Upload a new file,Can you upload this video file with a download limit of 5?,"{'file': 'video.mp4', 'download_limit': 5}",,,,,,,
24,SynWave,Upload a new file,Upload the spreadsheet file and protect it with username 'user123' and password 'securePass'.,"{'file': 'data.xlsx', 'auth_username': 'user123', 'auth_password': 'securePass'}",,,,,,,
24,SynWave,Upload a new file,Please upload the presentation file and set it to expire after 1800 seconds with a download limit of 10.,"{'file': 'slides.pptx', 'expiration_seconds': 1800, 'download_limit': 10}",,,,,,,
24,SynWave,Upload a new file,Upload this audio file without any password protection but limit downloads to 3.,"{'file': 'song.mp3', 'download_limit': 3}",,,,,,,
24,SynWave,Upload a new file,"Upload the text file and protect it with username 'admin' and password 'admin123', and set expiration to 3600 seconds.","{'file': 'notes.txt', 'auth_username': 'admin', 'auth_password': 'admin123', 'expiration_seconds': 3600}",,,,,,,
24,SynWave,Upload a new file,Please upload this archive file with no expiration and no download limit.,"{'file': 'backup.zip', 'expiration_seconds': 0}",,,,,,,
24,SynWave,Upload a new file,Upload the PDF file and set the download limit to 1 and expiration to 600 seconds.,"{'file': 'ebook.pdf', 'download_limit': 1, 'expiration_seconds': 600}",,,,,,,
24,SynWave,Upload a new file,"Upload this confidential file with username 'confuser' and password 'confpass', no download limit, and expiration of 86400 seconds.","{'file': 'confidential.docx', 'auth_username': 'confuser', 'auth_password': 'confpass', 'expiration_seconds': 86400}",,,,,,,
25,Tasty,tips/list,Show me tips for the recipe with id 3562.,{'id': 3562},,,,,,,
25,Tasty,tips/list,I want to see 10 tips for recipe id 1024.,"{'id': 1024, 'size': 10}",,,,,,,
25,Tasty,tips/list,Get tips starting from the 5th tip for recipe id 7890.,"{'id': 7890, 'from': 5}",,,,,,,
25,Tasty,tips/list,List 15 tips for recipe id 4500 starting from the 10th tip.,"{'id': 4500, 'size': 15, 'from': 10}",,,,,,,
25,Tasty,tips/list,Can you provide tips for recipe id 1234 with the default number of tips?,{'id': 1234},,,,,,,
25,Tasty,tips/list,I need 5 tips for recipe id 5678 starting from the beginning.,"{'id': 5678, 'size': 5, 'from': 0}",,,,,,,
25,Tasty,tips/list,Show me tips for recipe id 9999 starting from the 20th tip.,"{'id': 9999, 'from': 20}",,,,,,,
25,Tasty,tips/list,Get 25 tips for recipe id 2345.,"{'id': 2345, 'size': 25}",,,,,,,
25,Tasty,tips/list,I want to see tips for recipe id 6789 starting from the 3rd tip and show 7 tips.,"{'id': 6789, 'from': 3, 'size': 7}",,,,,,,
25,Tasty,tips/list,Please provide tips for recipe id 1111 with the default size and offset.,{'id': 1111},,,,,,,
26,TrackingPackage,TrackingPackage,Can you track my package with tracking number 1Z999AA10123456784 using the authorization key Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==?,"{'Authorization': 'Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==', 'trackingNumber': '1Z999AA10123456784'}",,,,,,,
26,TrackingPackage,TrackingPackage,Please track the FedEx shipment with tracking number 123456789012 and authorization Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==.,"{'Authorization': 'Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==', 'trackingNumber': '123456789012'}",,,,,,,
26,TrackingPackage,TrackingPackage,I want to check the status of my USPS package with tracking number 9400110898825022579493 using authorization Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==.,"{'Authorization': 'Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==', 'trackingNumber': '9400110898825022579493'}",,,,,,,
26,TrackingPackage,TrackingPackage,Track my DHL parcel with tracking number JD014600003838281234 using the authorization Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==.,"{'Authorization': 'Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==', 'trackingNumber': 'JD014600003838281234'}",,,,,,,
26,TrackingPackage,TrackingPackage,"Using authorization Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==, please track the UPS package with tracking number 1Z12345E0205271688.","{'Authorization': 'Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==', 'trackingNumber': '1Z12345E0205271688'}",,,,,,,
26,TrackingPackage,TrackingPackage,Could you track the package with tracking number 42022168912345678901234567 using authorization Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==?,"{'Authorization': 'Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==', 'trackingNumber': '42022168912345678901234567'}",,,,,,,
26,TrackingPackage,TrackingPackage,Please provide tracking details for the shipment with tracking number 771234567890 using authorization Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==.,"{'Authorization': 'Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==', 'trackingNumber': '771234567890'}",,,,,,,
26,TrackingPackage,TrackingPackage,Track the FedEx package with tracking number 987654321098 using authorization Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==.,"{'Authorization': 'Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==', 'trackingNumber': '987654321098'}",,,,,,,
26,TrackingPackage,TrackingPackage,"Using authorization Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==, can you track the package with tracking number 1Z76543210987654321?","{'Authorization': 'Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==', 'trackingNumber': '1Z76543210987654321'}",,,,,,,
26,TrackingPackage,TrackingPackage,I need to track my shipment with tracking number 4201234567890123456789012345 using the authorization Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==.,"{'Authorization': 'Basic Ym9sZGNoYXQ6TGZYfm0zY2d1QzkuKz9SLw==', 'trackingNumber': '4201234567890123456789012345'}",,,,,,,
27,Veriphone,verify,Can you verify the phone number +14155552671 for me?,{'phone': '+14155552671'},,,,,,,
27,Veriphone,verify,Please check if the phone number +442071838750 is valid.,{'phone': '+442071838750'},,,,,,,
27,Veriphone,verify,Verify the phone number +819012345678 and confirm its details.,{'phone': '+819012345678'},,,,,,,
27,Veriphone,verify,Is the phone number +5511987654321 a valid number?,{'phone': '+5511987654321'},,,,,,,
27,Veriphone,verify,Check the validity of the phone number +33123456789 with default country set to FR.,"{'phone': '+33123456789', 'default_country': 'FR'}",,,,,,,
27,Veriphone,verify,Please verify the phone number +61298765432 assuming the default country is AU.,"{'phone': '+61298765432', 'default_country': 'AU'}",,,,,,,
27,Veriphone,verify,Can you confirm if +918123456789 is a valid phone number in India?,"{'phone': '+918123456789', 'default_country': 'IN'}",,,,,,,
27,Veriphone,verify,Verify the phone number +447911123456 with the default country set to GB.,"{'phone': '+447911123456', 'default_country': 'GB'}",,,,,,,
27,Veriphone,verify,Is +8613800138000 a valid phone number? Please verify it.,{'phone': '+8613800138000'},,,,,,,
27,Veriphone,verify,Check the phone number +27211234567 and use ZA as the default country.,"{'phone': '+27211234567', 'default_country': 'ZA'}",,,,,,,
28,webcams.travel,"/webcams/list/webcam={webcamid}[,{webcamid}[,...]]",Show me the webcam feed for webcamid 12345.,{'webcamid': '12345'},,,,,,,
28,webcams.travel,"/webcams/list/webcam={webcamid}[,{webcamid}[,...]]",I want to see webcams with IDs 67890 and 54321 in English.,"{'webcamid': '67890,54321', 'lang': 'en'}",,,,,,,
28,webcams.travel,"/webcams/list/webcam={webcamid}[,{webcamid}[,...]]",Get the webcam images and locations for webcamid 98765.,"{'webcamid': '98765', 'show': 'webcams:image,location'}",,,,,,,
28,webcams.travel,"/webcams/list/webcam={webcamid}[,{webcamid}[,...]]",List the categories for webcamid 11223 in French.,"{'webcamid': '11223', 'lang': 'fr', 'show': 'categories'}",,,,,,,
28,webcams.travel,"/webcams/list/webcam={webcamid}[,{webcamid}[,...]]",Provide the webcam details for webcamid 33445 with images only.,"{'webcamid': '33445', 'show': 'webcams:image'}",,,,,,,
28,webcams.travel,"/webcams/list/webcam={webcamid}[,{webcamid}[,...]]",I want to see the continents related to webcamid 55667.,"{'webcamid': '55667', 'show': 'continents'}",,,,,,,
28,webcams.travel,"/webcams/list/webcam={webcamid}[,{webcamid}[,...]]",Get the countries information for webcamid 77889 in Spanish.,"{'webcamid': '77889', 'lang': 'es', 'show': 'countries'}",,,,,,,
28,webcams.travel,"/webcams/list/webcam={webcamid}[,{webcamid}[,...]]",Show me the regions for webcamid 99001 with location data.,"{'webcamid': '99001', 'show': 'regions,location'}",,,,,,,
28,webcams.travel,"/webcams/list/webcam={webcamid}[,{webcamid}[,...]]",List the properties of webcamid 22334 in German.,"{'webcamid': '22334', 'lang': 'de', 'show': 'properties'}",,,,,,,
28,webcams.travel,"/webcams/list/webcam={webcamid}[,{webcamid}[,...]]",Get webcam images and location for webcamid 44556 and 66778 in Italian.,"{'webcamid': '44556,66778', 'lang': 'it', 'show': 'webcams:image,location'}",,,,,,,
29,Working days,/1.3/list_non_working_days,Can you list the non working days in the US from 2024-01-01 to 2024-01-31?,"{'start_date': '2024-01-01', 'end_date': '2024-01-31', 'country_code': 'US'}",,,,,,,
29,Working days,/1.3/list_non_working_days,Show me the public holidays and weekends in Canada between 2023-12-20 and 2024-01-10.,"{'start_date': '2023-12-20', 'end_date': '2024-01-10', 'country_code': 'CA'}",,,,,,,
29,Working days,/1.3/list_non_working_days,What are the non working days in Germany from 2024-04-01 to 2024-04-30 using the 'State holidays' configuration?,"{'start_date': '2024-04-01', 'end_date': '2024-04-30', 'country_code': 'DE', 'configuration': 'State holidays'}",,,,,,,
29,Working days,/1.3/list_non_working_days,List all non working days in Australia from 2023-11-01 to 2023-11-30.,"{'start_date': '2023-11-01', 'end_date': '2023-11-30', 'country_code': 'AU'}",,,,,,,
29,Working days,/1.3/list_non_working_days,I need the non working days in the UK between 2024-05-01 and 2024-05-15 with the 'Bank holidays' configuration.,"{'start_date': '2024-05-01', 'end_date': '2024-05-15', 'country_code': 'GB', 'configuration': 'Bank holidays'}",,,,,,,
29,Working days,/1.3/list_non_working_days,What are the weekend days and public holidays in Japan from 2024-07-01 to 2024-07-31?,"{'start_date': '2024-07-01', 'end_date': '2024-07-31', 'country_code': 'JP'}",,,,,,,
29,Working days,/1.3/list_non_working_days,Please provide the list of non working days in Brazil from 2023-09-01 to 2023-09-30.,"{'start_date': '2023-09-01', 'end_date': '2023-09-30', 'country_code': 'BR'}",,,,,,,
29,Working days,/1.3/list_non_working_days,Show me the non working days in India between 2024-10-01 and 2024-10-15 using the 'Regional holidays' configuration.,"{'start_date': '2024-10-01', 'end_date': '2024-10-15', 'country_code': 'IN', 'configuration': 'Regional holidays'}",,,,,,,
29,Working days,/1.3/list_non_working_days,Can you list the non working days in South Africa from 2023-12-01 to 2023-12-31?,"{'start_date': '2023-12-01', 'end_date': '2023-12-31', 'country_code': 'ZA'}",,,,,,,
29,Working days,/1.3/list_non_working_days,What are the non working days in France between 2024-02-01 and 2024-02-28?,"{'start_date': '2024-02-01', 'end_date': '2024-02-28', 'country_code': 'FR'}",,,,,,,
30,Working days,/1.3/add_working_days,How many working days will it be if I add 5 working days to the start date 2024-05-01 in the US?,"{'country_code': 'US', 'start_date': '2024-05-01', 'increment': 5}",,,,,,,
30,Working days,/1.3/add_working_days,Add 10 working days to the date 2024-07-15 in Canada and tell me the resulting date.,"{'country_code': 'CA', 'start_date': '2024-07-15', 'increment': 10}",,,,,,,
30,Working days,/1.3/add_working_days,"If I subtract 3 working days from 2024-09-10 in the UK, what date do I get?","{'country_code': 'GB', 'start_date': '2024-09-10', 'increment': -3}",,,,,,,
30,Working days,/1.3/add_working_days,"Starting from 2024-11-01 in Australia, add 7 working days excluding the start date. What is the new date?","{'country_code': 'AU', 'start_date': '2024-11-01', 'increment': 7, 'include_start': False}",,,,,,,
30,Working days,/1.3/add_working_days,Add 15 working days to 2024-03-20 in Germany using the Federal holidays configuration.,"{'country_code': 'DE', 'start_date': '2024-03-20', 'increment': 15, 'configuration': 'Federal holidays'}",,,,,,,
30,Working days,/1.3/add_working_days,"What date do I get if I add 8 working days to 2024-06-10 in France, including the start date?","{'country_code': 'FR', 'start_date': '2024-06-10', 'increment': 8, 'include_start': True}",,,,,,,
30,Working days,/1.3/add_working_days,Calculate the date after subtracting 4 working days from 2024-12-05 in Japan.,"{'country_code': 'JP', 'start_date': '2024-12-05', 'increment': -4}",,,,,,,
30,Working days,/1.3/add_working_days,Add 12 working days to 2024-08-01 in Brazil and exclude the start date from the count.,"{'country_code': 'BR', 'start_date': '2024-08-01', 'increment': 12, 'include_start': False}",,,,,,,
30,Working days,/1.3/add_working_days,"From 2024-10-15 in Italy, add 6 working days using the default holiday configuration.","{'country_code': 'IT', 'start_date': '2024-10-15', 'increment': 6}",,,,,,,
30,Working days,/1.3/add_working_days,"If I add 9 working days to 2024-04-25 in South Africa, what date will it be?","{'country_code': 'ZA', 'start_date': '2024-04-25', 'increment': 9}",,,,,,,
